id,players,winner
0bbd784b-eb0b-4b0b-8220-1bbaec6b8d8b,"['whacker', 'huy']",whacker
19dc2026-aa4a-4278-830a-db9eed42078b,"['vincent', 'huy']",huy
1ceae927-63ad-42d2-b598-f27e1790a9b0,"['nice', 'what']",what
464887bb-f8db-4aaf-8478-e30254c2d39d,"['huy', 'whacker']",huy
75bd119b-a95a-42c6-96b2-6788a8cff1f1,"['mindy', 'diep']",diep
84c79458-8abd-480b-9bea-4ffe8465a998,"['keegan', 'vincent']",keegan
8d96e171-ade1-4aef-b29f-4aab01f33708,"['whacker', 'huy']",whacker
a493a816-600e-48d6-8689-70167d1092fa,"['vincent', 'kegan']",vincent
c303bcef-3092-41d1-9d75-93dbf469c687,"['vincent', 'keegan']",vincent
e1727fb8-0e0b-4930-b93a-529054834cd3,"['mindy', 'diep']",mindy
